channel,APA,TPC,det_center_x,det_center_y,det_center_z,ch_center_z
0,4,6,357.295655,578.908875,347.29625,427.19625
1,4,6,357.295655,518.159,347.29625,427.19625
2,4,6,357.295655,457.409125,347.29625,427.19625
3,4,6,357.295655,396.65925,347.29625,427.19625
4,4,6,357.295655,335.909375,347.29625,427.19625
5,4,6,357.295655,275.1595,347.29625,427.19625
6,4,6,357.295655,214.409625,347.29625,427.19625
7,4,6,357.295655,153.65975,347.29625,427.19625
8,4,6,357.295655,92.909875,347.29625,427.19625
9,4,6,357.295655,32.16,347.29625,427.19625
10,4,6,357.295655,578.908875,347.29625,377.99625
11,4,6,357.295655,518.159,347.29625,377.99625
12,4,6,357.295655,457.409125,347.29625,377.99625
13,4,6,357.295655,396.65925,347.29625,377.99625
14,4,6,357.295655,335.909375,347.29625,377.99625
15,4,6,357.295655,275.1595,347.29625,377.99625
16,4,6,357.295655,214.409625,347.29625,377.99625
17,4,6,357.295655,153.65975,347.29625,377.99625
18,4,6,357.295655,92.909875,347.29625,377.99625
19,4,6,357.295655,32.16,347.29625,377.99625
20,4,6,357.295655,578.908875,347.29625,316.59625
21,4,6,357.295655,518.159,347.29625,316.59625
22,4,6,357.295655,457.409125,347.29625,316.59625
23,4,6,357.295655,396.65925,347.29625,316.59625
24,4,6,357.295655,335.909375,347.29625,316.59625
25,4,6,357.295655,275.1595,347.29625,316.59625
26,4,6,357.295655,214.409625,347.29625,316.59625
27,4,6,357.295655,153.65975,347.29625,316.59625
28,4,6,357.295655,92.909875,347.29625,316.59625
29,4,6,357.295655,32.16,347.29625,316.59625
30,4,6,357.295655,578.908875,347.29625,267.39625
31,4,6,357.295655,518.159,347.29625,267.39625
32,4,6,357.295655,457.409125,347.29625,267.39625
33,4,6,357.295655,396.65925,347.29625,267.39625
34,4,6,357.295655,335.909375,347.29625,267.39625
35,4,6,357.295655,275.1595,347.29625,267.39625
36,4,6,357.295655,214.409625,347.29625,267.39625
37,4,6,357.295655,153.65975,347.29625,267.39625
38,4,6,357.295655,92.909875,347.29625,267.39625
39,4,6,357.295655,32.16,347.29625,267.39625
40,3,2,357.295655,578.908875,115.23625,195.13625
41,3,2,357.295655,518.159,115.23625,195.13625
42,3,2,357.295655,457.409125,115.23625,195.13625
43,3,2,357.295655,396.65925,115.23625,195.13625
44,3,2,357.295655,335.909375,115.23625,195.13625
45,3,2,357.295655,275.1595,115.23625,195.13625
46,3,2,357.295655,214.409625,115.23625,195.13625
47,3,2,357.295655,153.65975,115.23625,195.13625
48,3,2,357.295655,92.909875,115.23625,195.13625
49,3,2,357.295655,32.16,115.23625,195.13625
50,3,2,357.295655,578.908875,115.23625,145.93625
51,3,2,357.295655,518.159,115.23625,145.93625
52,3,2,357.295655,457.409125,115.23625,145.93625
53,3,2,357.295655,396.65925,115.23625,145.93625
54,3,2,357.295655,335.909375,115.23625,145.93625
55,3,2,357.295655,275.1595,115.23625,145.93625
56,3,2,357.295655,214.409625,115.23625,145.93625
57,3,2,357.295655,153.65975,115.23625,145.93625
58,3,2,357.295655,92.909875,115.23625,145.93625
59,3,2,357.295655,32.16,115.23625,145.93625
60,3,2,357.295655,578.908875,115.23625,84.53625
61,3,2,357.295655,518.159,115.23625,84.53625
62,3,2,357.295655,457.409125,115.23625,84.53625
63,3,2,357.295655,396.65925,115.23625,84.53625
64,3,2,357.295655,335.909375,115.23625,84.53625
65,3,2,357.295655,275.1595,115.23625,84.53625
